lat,lon,Contact,Title,What,name,Address,Phone,Text,Website,Email,other,ttt,,,
51.88623982,-8.408801049,Vanessa Bradbury,Cork Carer Online Support Group,Online Carer Support Groups,,Bessboro Day Care Centre Bessboro Blackrock Co. Cork. T12 HF70,,,https://alzheimer.ie/location/cork-carer-online-support-group/,amurphy@alzheimer.ie / vbradbury@alzheimer.ie,2nd Wednesday of every month 6-7pm,,,,
51.81661925,-8.38740071,Karen Fitzpatrick,Carrigaline Alzheimer Café,Alzheimer Cafe,,Family Support Centre Church Road Carrigaline County Cork P43 FR80,873487511,,https://alzheimer.ie/location/cork-alzheimer-cafe/,karen.fitzpatrick@alzheimer.ie,Second Thursday of the month 3-5pm,,,,
51.55006738,-9.265983249,Michelle O'Shea,West Cork Home Care,Home Care Services,,33 North Street Skibbereen County Cork P81NW63,086 883 0577,,https://alzheimer.ie/location/west-cork-home-care/,,,,,,
51.54876985,-9.264207388,Michelle O'Shea,Skibbereen Day Care,Day Care Services,,Skibbereen Day Care Cara house Market Street Skibbereen Co. Cork. P81 Y046,086 883 0577,,https://alzheimer.ie/location/skibbereen-day-care/,,,,,,
,,Vanessa Bradbury,West Cork Dementia Adviser,Dementia Adviser,West Cork,,086 0218463,,https://alzheimer.ie/location/west-cork-dementia-adviser/,vbradbury@alzheimer.ie,,,,,
,,Jerry Foley/ Karen Fitzpatrick,Bessboro/Midleton/Bandon Day Care at Home,Day Care at Home,,,021 4972504 / 085 8565795 (Jerry) / 087 3487511 (Karen,,https://alzheimer.ie/location/bessboro-midleton-bandon-day-care-at-home/,Jeremiah.Foley@alzheimer.ie / Karen.fitzpatrick@alzheimer.ie,,,,,
,,,Age Action Care and Repair,Social Activities,,,,,https://alzheimer.ie/location/age-action-care-and-repair-dublin/,info@ageaction.ie,,,,,
,,,Engaging Dementia Virtual Rainbow Cafe,Social Activities,,,,,https://alzheimer.ie/location/engaging-dementia-virtual-rainbow-cafe/,virtualcafe@engagingdementia.ie,Last Friday of every month,"The Rainbow Café is specifically for older LGBT+ persons, proactive allies, and healthcare professionals supporting older persons. ","The space is dementia-inclusive and those living with dementia, along with family carers and supporters, are encouraged to attend and will be assisted to do so in any way possible.",,
,,Mary,Singing for the Brain,Social Activities,,,087 462 2216 (mornings),,https://alzheimer.ie/location/singing-for-the-brain-youghal/,singing4thebrain@gmail.com,,,,,
ON-Line,,,National Online Family Carer Support Groups,Online Carer Support Groups,,,1800 341 341,,https://alzheimer.ie/about-dementia/family-carer-training/,onlinesupportgroup@alzheimer.ie,Every 3 weeks,,,,https://alzheimer.ie/services-in-your-county/
