lat,lon,name,Address,Phone,Website,Email,other,ttt
53.85407495,-9.299448148,Mayo County Council,The Mall Castlebar Co. Mayo F23 WF90,0949064000,https://www.mayo.ie/contact,,coco,
53.64742406,-6.668346441,Meath County Council,Buvinda House Dublin Road Navan Co. Meath C15 Y291,0469097000,https://www.meath.ie/council/contact-customer-service,,coco,
54.24271044,-6.971517207,Monaghan County Council,Monaghan County Council County Offices The Glen Monaghan H18 YT50,00353 47 30500,https://monaghan.ie/contact/,,coco,
53.28478842,-7.502209362,Offaly County Council,"Áras an Chontae Charleville Rd, Spollanstown Tullamore Co. Offaly, R35 F893",0579346800,https://www.offaly.ie/engaging-with-architecture-programmes/,,coco,
53.63087674,-8.194515679,Roscommon County Council,County Hall Ardnanagh Roscommon F42 VR98,0906637100,http://www.roscommoncoco.ie/en/,,coco,
54.27120483,-8.462911326,Sligo County Council,County Hall Riverside Sligo F91 Y763,0719111111,https://www.sligococo.ie/ContactUs/,,coco,
53.28947532,-6.372718236,South Dublin County Council,County Hall Belgard Square North Tallaght Co. Dublin,014149000,https://www.sdcc.ie/en/services/our-council/about-us/customer-care/,,coco,
52.86305451,-8.210692436,Tipperary county council,Tipperary County Council North Tipperary Civic Offices Limerick Rd Nenagh North Nenagh Co. Tipperary,0818065000,https://www.tipperarycoco.ie/,,coco,
52.26800756,-7.106338048,Waterford City & County Council,The Mall Waterford,0818 10 20 20,https://www.waterfordcouncil.ie/departments/corporate/customer-care.htm,,coco,
53.52389936,-7.340270688,Westmeath County Council,"Áras An Chontae Mount St, Mullingar Co. Westmeath",0449332000,http://www.westmeathcoco.ie/en/contactus/,,coco,
52.35009573,-6.489895308,Wexford County Council,Newtown Rd Carricklawn Wexford Y35 WY93,0539196000,https://www.wexfordcoco.ie/,,coco,
52.98602777,-6.050685294,Wicklow County Council,Wicklow County Council County Buildings Whitegates Wicklow Town A67 FW96,(0404) 20100,https://www.wicklow.ie/Living/Your-Council/Customer-Care/Contact-Us,,coco,
51.89748325,-8.465538118,Cork City Council,Cork City Council City Hall Anglesea Street Cork T12 T997,+353 21 4924000,https://www.corkcity.ie/en/,,cyco,
53.3453952,-6.271382808,Dublin City Council,Dublin City Council Customer Services Block 3 Floor 0 Civic Offices Wood Quay Dublin 8 D08 RF3F,01 222 2222,https://www.dublincity.ie/council/council-explained/contact-us,,cyco,
53.27624486,-9.043438218,Galway City Council,10A College Rd Galway H91 F798,091536400,https://www.galwaycity.ie/contact-us-information/,,cyco,
53.3957875,-6.263586108,The Eastern & Midland Regional Assembly,3rd Floor North Ballymun Civic Centre Main Street Ballymun Dublin 9 Ireland D09C8P5,00 353 (0) 1 8074482,http://emra.ie/contact-us/,,regco,
53.90243931,-8.579280523,Northern & Western Regional Assembly,Northern & Western Regional Assembly The Square Ballaghaderreen Co Roscommon Ireland F45 W674,00 353 (0) 94 986 2970,https://www.nwra.ie/contact-us/,info@nwra.ie,regco,
52.26249071,-7.11407011,Southern Regional Assembly,Southern Regional Assembly Assembly House O' Connell Street Waterford Ireland X91 F8PC,+353 (0) 51 860700,https://www.southernassembly.ie/contact,,regco,
