Service Name, Eircode,Lat,Lon, Address, Town, County, Country, Phone,Link,Other
Clonakilty Community Care Meals on Wheels, P85 V327,51.62158366,-8.888948423,Saint Fachtna's Community Care Centre Casement Park, Clonakilty, Cork, Ireland,023 8833107,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Tralee Soup Kitchen, V92 EV50,52.27171875,-9.703931269,Ashe Street , Tralee, Kerry, Ireland,086 3188736,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Westgate Foundation, P31 TF34,51.8887624,-8.602034792,West Village , Ballincollig, Cork, Ireland,021 4873648,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Waterville Community Care, V23 P935,51.82865597,-10.17362029,,Waterville, Kerry, Ireland,066 9474366,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Tralee Meals On Wheels, V92 X704,52.26883701,-9.709255438,Ozanam House 9 Day Place, Tralee, Kerry, Ireland,066 712 8021,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Tralee Community Care & Action Ltd, V92 Y336,52.27295675,-9.714728715,Cumann Iosaef Balloonagh, Tralee, Kerry, Ireland,066 7120056,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
SVDP Listowel Day Centre, V31 YA37,52.44850982,-9.481698838,14 Meelish Close John B. Keane Road, Listowel, Kerry, Ireland,087 781 8053,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Social Action Group Rathmore Clg, P51 DV7F,52.07750741,-9.249628669,Saint Joseph's Day Care Centre , Rathmore, Kerry, Ireland,064 7758588,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Sneem Welfare Organisation Ltd, V93 TX07,51.83803451,-9.905261869,Sea View , Sneem, Kerry, Ireland,087 7923499,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Rockmount Care Centre, V93 XY75,51.90319764,-9.445744718,Doctor's Surgery  Rockmount Gortnaboul, Kilgarvan, Kerry, Ireland,064 6685952,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Portmagee Social Services, V23 HY51,51.88610403,-10.36331278,Portmagee Community Centre , Portmagee, Kerry, Ireland,066- 9477200,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
P.A.C.E. (Passage Association For The Care Of T..., T12 X4AX,51.87274834,-8.336508169,Town Hall Main Street, Passage West, Cork, Ireland,021 4863272,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Middleton Meals On Wheels, P25 H343,51.91176576,-8.168914954,Parish Hall Youghal Road, Middleton, Cork, Ireland,021 4633260,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Middle Parish Meals On Wheels, T12 P302,51.89962516,-8.480670692,1 Peter's Street , Cork, Cork, Ireland,021 427 3934,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Mallow Social Service Council, P51P2FF,52.13935848,-8.642419369,The New Road , Mallow, Cork, Ireland,877546547,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/listing/mallow-social-service-council/,
Listry Communtiy Council, V93 PX08,51.89729076,-8.416774669,Listry Community Council , Faha, Kerry, Ireland,087 2563883,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Knocknagoshel Meals On Wheels, V92 WV70,52.33129282,-9.384824423,Knocknagoshel,, Kerry, Ireland,087 1269270,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Knockanure Community Centre, V31 K778,52.46345044,-9.369618792,Knockanure , Moyvane, Kerry, Ireland,068 49799,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Killarney Community Services, V93 EVP2,52.06494473,-9.516575369,Holy Cross Day Care Centre Rock Road, Killarney, Kerry, Ireland,064 6635005,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Kenmare Community Care Clg,V93 D9HE,51.88545414,-9.581221518,Taobh Linn Social Centre  Taobh Linn Railway Road, Kenmare, Kerry, Ireland,064 6648616,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Glounthaune Meals On Wheels, T45 TD73,51.90973264,-8.363014838,28 Tower Hill Kilcoolishal, Glanmire, Cork, Ireland,021 4353557,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Glencar Community Care, V93 R963,52.01233434,-9.853073861,Shanacashel Community Centre Shanacashel, Glencar, Kerry, Ireland,087 9314668,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Gairdin Mhuire Day Care Centre, V92 HK79,52.14235911,-10.2706288,Sraid An Doirin , Daingean Ui Chuis, Kerry, Ireland,066 9151300,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Fermoy Community Resource Centre, P61 T267,52.13834112,-8.277445107,42 Mccurtain Street , Fermoy, Cork, Ireland,025 32962,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Dunmanway Family Resource Centre, P47 DP99,51.71792993,-9.116656938,Tonafora Bantry Road, Dunmanway, Cork, Ireland,028 8868110,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Duhallow Community Food Services, P51 C5YF,52.21039966,-8.994400215,James O'Keeffe Institute Demesne, Newmarket, Cork, Ireland,029 76375,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Duagh Family & Community Resource Centre Ltd, V31 FH67,52.41605136,-9.391048377,Duagh Village , Listowel, Kerry, Ireland,087 6866822,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Castlemaine Community Centre,V93 R273,52.17153122,-9.700245838,Tralee Road , Castlemaine, Kerry, Ireland,066 9767833,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Caherdaniel Community Care, V93 KR70,51.76947552,-10.10004309,Caherdamiel Community Hall , Canherdaniel, Kerry, Ireland,087 9206667,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
