name,Address,lat,lon,Phone,Website,Other,,,,,,,
Togher,Tramore Road,51.876497,-8.486227,(021) 4947120,https://www.garda.ie/garda/en/contact-us/station-directory/togher.html,24/7,,,,,,,
Watercourse Road,,51.907175,-8.474483,(021) 4558260,https://www.garda.ie/garda/en/contact-us/station-directory/watercourse-road.html,,,,,,,,
Ballycotton,Main Street,51.830332,-8.013091,(021) 4646712,https://www.garda.ie/garda/en/contact-us/station-directory/ballycotton.html,,,,,,,,
Ballynoe,,52.060207,-8.099306,(058) 59100,https://www.garda.ie/garda/en/contact-us/station-directory/ballynoe.html,,,,,,,,
Buttervant,Richmond Street,52.229313,-8.671275,(022) 41740,https://www.garda.ie/garda/en/contact-us/station-directory/buttevant.html,,,,,,,,
Carrigtwohill,Main Street,51.909467,-8.261819,(021) 4883222,https://www.garda.ie/garda/en/contact-us/station-directory/carrigtwohill.html,,,,,,,,
Charleville,Chapel Street,52.356054,-8.682567,(063) 21770,https://www.garda.ie/garda/en/contact-us/station-directory/charleville.html,,,,,,,,
Cloyne,Spital Street,51.862760,-8.123499,(021) 4652515,https://www.garda.ie/garda/en/contact-us/station-directory/cloyne.html,,,,,,,,
Cobh,Lower Rd,51.848240,-8.303642,(021) 4908530,https://www.garda.ie/garda/en/contact-us/station-directory/cobh.html,24/7,,,,,,,
Doneraile,Main Street,52.215706,-8.585414,(022) 24182,https://www.garda.ie/garda/en/contact-us/station-directory/doneraile.html,,,,,,,,
Fermoy,O'Neill-Crowley Quay,52.138516,-8.274164,(025) 82100,https://www.garda.ie/garda/en/contact-us/station-directory/fermoy.html,24/7,,,,,,,
Glantane,Smithfield,52.104692,-8.748764,(022) 47154,https://www.garda.ie/garda/en/contact-us/station-directory/glantane.html,,,,,,,,
Kanturk,Percival Street,52.175870,-8.912577,(029) 20680,https://www.garda.ie/garda/en/contact-us/station-directory/kanturk.html,24/7,,,,,,,
Kildorrery,Farrahy Road,52.245439,-8.429624,(022) 25162,https://www.garda.ie/garda/en/contact-us/station-directory/kildorrery.html,,,,,,,,
Killeagh,Main Street,51.939762,-7.994963,(024) 95112,https://www.garda.ie/garda/en/contact-us/station-directory/killeagh.html,,,,,,,,
Kilworth,Main Street,52.176253,-8.249569,(025) 27101,https://www.garda.ie/garda/en/contact-us/station-directory/kilworth.html,,,,,,,,
Liscarroll,Main Street,52.259567,-8.806261,(022) 48163,https://www.garda.ie/garda/en/contact-us/station-directory/liscarroll.html,,,,,,,,
Mallow,Bowling Green,52.138770,-8.645940,(022) 31450,https://www.garda.ie/garda/en/contact-us/station-directory/mallow.html,24/7,,,,,,,
Midleton,Oliver Plunkett Place,51.916681,-8.173526,(021) 4621550,https://www.garda.ie/garda/en/contact-us/station-directory/midleton.html,24/7,,,,,,,
Milford ,Co Cork,52.342465,-8.856400,(063) 80002,https://www.garda.ie/garda/en/contact-us/station-directory/milford-co-cork.html,,,,,,,,
Millstreet,Main Street,52.060069,-9.061531,"	(029) 70002",https://www.garda.ie/garda/en/contact-us/station-directory/millstreet.html,,,,,,,,
Mitchelstown,Main Street,52.263585,-8.270568,(025) 84833,https://www.garda.ie/garda/en/contact-us/station-directory/mitchelstown.html,,,,,,,,
Newmarket,Church Street,52.214576,-8.996980,(029) 60002,https://www.garda.ie/garda/en/contact-us/station-directory/newmarket.html,,,,,,,,
Rathcormac,,52.076086,-8.284331,(025) 36102,https://www.garda.ie/garda/en/contact-us/station-directory/rathcormac.html,,,,,,,,
Watergrasshill,,52.013443,-8.342022,(021) 4889102,https://www.garda.ie/garda/en/contact-us/station-directory/watergrasshill.html,,,,,,,,
Whitegate,,51.827070,-8.227810,(021) 4661212,https://www.garda.ie/garda/en/contact-us/station-directory/whitegate.html,,,,,,,,
Youghal,O'Brien's Place,51.948069,-7.842754,(024) 92200,https://www.garda.ie/garda/en/contact-us/station-directory/youghal.html,,,,,,,,
Ballyvourney,Baile Bhúirne,51.945772,-9.169196,(026) 45002,https://www.garda.ie/garda/en/contact-us/station-directory/baile-bhuirne-ballyvourney-.html,,,,,,,,
Ballineen,Main Street,51.735920,-8.948867,(023) 8847111,https://www.garda.ie/garda/en/contact-us/station-directory/ballineen.html,,,,,,,,
Ballinhassig,Halfway,51.804093,-8.570545,(021) 4885102,https://www.garda.ie/garda/en/contact-us/station-directory/ballinhassig.html,,,,,,,,
Ballydehob,,51.559116,-9.460782,(028) 37111,https://www.garda.ie/garda/en/contact-us/station-directory/ballydehob.html,,,,,,,,
Ballydesmond,,52.178235,-9.230971,(064) 51102,https://www.garda.ie/garda/en/contact-us/station-directory/ballydesmond.html,,,,,,,,
Baltimore,,51.483488,-9.372258,(028) 20102,https://www.garda.ie/garda/en/contact-us/station-directory/baltimore.html,,,,,,,,
Bandon,Weir Street,51.745084,-8.739863,(023) 8852200,https://www.garda.ie/garda/en/contact-us/station-directory/bandon.html,24/7,,,,,,,
Bantry,The Quay,51.680270,-9.455239,(027) 20860,https://www.garda.ie/garda/en/contact-us/station-directory/bantry.html,24/7,,,,,,,
Ballingeary,An Chill Mhór - Kilmore,51.851864,-9.228983,(026) 47002,https://www.garda.ie/garda/en/contact-us/station-directory/beal-atha-an-ghaorthaidh-ballingeary-.html,,,,,,,,
Boherbue,,52.158972,-9.069752,(029) 76002,https://www.garda.ie/garda/en/contact-us/station-directory/boherbue.html,,,,,,,,
Castletownbere,West End,51.649482,-9.914682,(027) 70002,https://www.garda.ie/garda/en/contact-us/station-directory/castletownbere.html,,,,,,,,
Castletownroche,Mallow Road,52.170729,-8.467951,(022) 26161,https://www.garda.ie/garda/en/contact-us/station-directory/castletownroche.html,,,,,,,,
Clonakilty,Mccurtain Hill,51.624951,-8.888908,(023) 8821570,https://www.garda.ie/garda/en/contact-us/station-directory/clonakilty.html,24/7,,,,,,,
Coachford,Knockaneowen,51.909134,-8.791136,(021) 7334002,https://www.garda.ie/garda/en/contact-us/station-directory/coachford.html,,,,,,,,
Crookstown,,51.858654,-8.801264,(021) 7336002,https://www.garda.ie/garda/en/contact-us/station-directory/crookstown.html,,,,,,,,
Drimoleague,,51.659024,-9.263986,(028) 31111,https://www.garda.ie/garda/en/contact-us/station-directory/drimoleague.html,,,,,,,,
Drinish,Toughbawn,51.647710,-9.154526,(028) 30113,https://www.garda.ie/garda/en/contact-us/station-directory/drinagh.html,,,,,,,,
Dunmanway,Main Street,51.722827,-9.110140,(023) 8845202,https://www.garda.ie/garda/en/contact-us/station-directory/dunmanway.html,,,,,,,,
Durrus,,51.620542,-9.523956,(027) 61002,https://www.garda.ie/garda/en/contact-us/station-directory/durrus.html,,,,,,,,
Glengarriff,The Village,51.750564,-9.550710,(027) 63002,https://www.garda.ie/garda/en/contact-us/station-directory/glengarriff.html,,,,,,,,
Innishannon,Main Street,51.764428,-8.655438,(021) 4775302,https://www.garda.ie/garda/en/contact-us/station-directory/innishannon.html,,,,,,,,
Kealkill,,51.755046,-9.375317,(027) 20867,https://www.garda.ie/garda/en/contact-us/station-directory/kealkill.html,,,,,,,,
Kilbrittain,,51.673531,-8.690112,(023) 8849666,https://www.garda.ie/garda/en/contact-us/station-directory/kilbrittain.html,,,,,,,,
Kinsale,Church Square,51.706322,-8.525480,(021) 4772302,https://www.garda.ie/garda/en/contact-us/station-directory/kinsale.html,,,,,,,,
Macroom,Barrack Lane,51.906268,-8.963996,(026) 20590,https://www.garda.ie/garda/en/contact-us/station-directory/macroom.html,24/7,,,,,,,
Rathmore,East End,52.084275,-9.214231,(074) 9158113,https://www.garda.ie/garda/en/contact-us/station-directory/rathmore.html,,,,,,,,
Rosscarberry,Church Street,51.577571,-9.031503,(023) 8848162,https://www.garda.ie/garda/en/contact-us/station-directory/rosscarberry.html,,,,,,,,
Schull,,51.528718,-9.541360,(028) 28111,https://www.garda.ie/garda/en/contact-us/station-directory/schull.html,,,,,,,,
Skibbereen,High Street,51.548587,-9.264135,(028) 23088,https://www.garda.ie/garda/en/contact-us/station-directory/skibbereen.html,,,,,,,,
Stuake,,51.990501,-8.760124,(021) 7337032,https://www.garda.ie/garda/en/contact-us/station-directory/stuake.html,,,,,,,,
Tarelton,Deshure,51.838531,-8.992849,(026) 46002,https://www.garda.ie/garda/en/contact-us/station-directory/tarleton.html,,,,,,,,
Timoleague,Mill Street,51.642666,-8.766241,(023) 8846122,https://www.garda.ie/garda/en/contact-us/station-directory/timoleague.html,,,,,,,,
Bailieboro,Barrack St,53.915212,-6.96963,(042) 9694570,https://www.garda.ie/garda/en/contact-us/station-directory/bailieboro.html,24/7,,,,,,,
Ballyconnell,Doon,54.118998,-7.580204,(049) 9525580,https://www.garda.ie/garda/en/contact-us/station-directory/ballyconnell.html,24/7,,,,,,,
Carrickmacross,Main Street,53.976059,-6.718776,(042) 9690190,https://www.garda.ie/garda/en/contact-us/station-directory/carrickmacross.html,24/7,,,,,,,
Castleblayney,Upper York Street,54.117858,-6.735032,(042) 9740668,https://www.garda.ie/garda/en/contact-us/station-directory/castleblayney.html,24/7,,,,,,,
Cavan,Farnham Street,53.993329,-7.360879,(049) 4368800,https://www.garda.ie/garda/en/contact-us/station-directory/cavan.html,24/7,,,,,,,
Monaghan,Plantation Road,54.25137,-6.967516,(047) 77200,https://www.garda.ie/garda/en/contact-us/station-directory/monaghan.html,24/7,,,,,,,
Ennis,Abbey Street,52.84681,-8.98112,(065) 6848100,https://www.garda.ie/garda/en/contact-us/station-directory/ennis.html,24/7,,,,,,,
Ennistymon,Ennis Road,52.937394,-9.288537,(065) 7072180,https://www.garda.ie/garda/en/contact-us/station-directory/ennistymon.html,24/7,,,,,,,
Kilrush,Ennis Road,52.641064,-9.481077,(065) 9080550,https://www.garda.ie/garda/en/contact-us/station-directory/kilrush.html,24/7,,,,,,,
Shannon,Shannon Town Centre,52.707895,-8.877221,(061) 365900,https://www.garda.ie/garda/en/contact-us/station-directory/shannon.html,24/7,,,,,,,
Ballyshannon,Portnason,54.498743,-8.204817,(071) 9858530,https://www.garda.ie/garda/en/contact-us/station-directory/ballyshannon.html,24/7,,,,,,,
Buncrana,Lisfannon,55.1315,-7.450711,(074) 9320540,https://www.garda.ie/garda/en/contact-us/station-directory/buncrana.html,24/7,,,,,,,
Donegal town,Quay Street,54.652423,-8.111061,(074) 9740190,https://www.garda.ie/garda/en/contact-us/station-directory/donegal-town.html,24/7,,,,,,,
Letterkenny,New Line Road,54.954697,-7.736422,(074) 9167100,https://www.garda.ie/garda/en/contact-us/station-directory/letterkenny.html,24/7,,,,,,,
Milford,Main Street,55.08699,-7.698108,(074) 9153060,https://www.garda.ie/garda/en/contact-us/station-directory/milford-co-donegal.html,24/7,,,,,,,
Balbriggan,Drogheda Road,53.61433,-6.191172,(01) 8020510,https://www.garda.ie/garda/en/contact-us/station-directory/balbriggan.html,24/7,,,,,,,
Ballyfermot,Rossmore Avenue Dublin 20,53.34476,-6.357991,(01) 6667200,https://www.garda.ie/garda/en/contact-us/station-directory/ballyfermot.html,24/7,,,,,,,
Ballymun,Main Street Dublin 9,53.394531,-6.26371,(01) 6664400,https://www.garda.ie/garda/en/contact-us/station-directory/ballymun.html,24/7,,,,,,,
Blackrock,15 Sweetman's Avenue,53.299805,-6.177504,(01) 6665200,https://www.garda.ie/garda/en/contact-us/station-directory/blackrock-dublin.html,24/7,,,,,,,
Blanchardstown,Main street Dublin 15,53.38992,-6.380975,(01) 6667000,https://www.garda.ie/garda/en/contact-us/station-directory/blanchardstown.html,24/7,,,,,,,
Bridewell,Dublin 7,53.34708,-6.27413,(01) 6668200,https://www.garda.ie/garda/en/contact-us/station-directory/bridewell-dublin.html,24/7,,,,,,,
Cabinteely,Bray Road Dublin 18,53.260789,-6.150651,(01) 6665400,https://www.garda.ie/garda/en/contact-us/station-directory/cabinteely.html,24/7,,,,,,,
Clondalkin,Orchard Lane,53.323146,-6.394958,(01) 6667600,https://www.garda.ie/garda/en/contact-us/station-directory/clondalkin.html,24/7,,,,,,,
Clontarf,Strandville Avenue East,53.363544,-6.220152,(01) 6664800,https://www.garda.ie/garda/en/contact-us/station-directory/clontarf.html,24/7,,,,,,,
Coolock,Oscar Traynor Road Dublin 5,53.390335,-6.201099,(01) 6664200,https://www.garda.ie/garda/en/contact-us/station-directory/coolock.html,24/7,,,,,,,
Crumlin,23 Saint Agnes Road Dublin 12,53.319567,-6.315017,(01) 6666200,https://www.garda.ie/garda/en/contact-us/station-directory/crumlin.html,24/7,,,,,,,
Dublin Airport,Terminal Complex Swords,53.429782,-6.24501,(01) 6664950,https://www.garda.ie/garda/en/contact-us/station-directory/dublin-airport.html,24/7,,,,,,,
Dun Laoghaire,Corrig Avenue,53.289915,-6.133347,(01) 6665000,https://www.garda.ie/garda/en/contact-us/station-directory/dun-laoghaire.html,24/7,,,,,,,
Dundrum,Dublin 14,53.289544,-6.242572,(01) 6665600,https://www.garda.ie/garda/en/contact-us/station-directory/dundrum-dublin.html,24/7,,,,,,,
Finglas,Mellowes Road Finglas West Dublin 11,53.389651,-6.306919,(01) 6667500,https://www.garda.ie/garda/en/contact-us/station-directory/finglas.html,24/7,,,,,,,
Fitzgibbon Street,23-28 Fitzgibbon Street Dublin 1,53.357735,-6.255359,(01) 6668400,https://www.garda.ie/garda/en/contact-us/station-directory/fitzgibbon-street.html,24/7,,,,,,,
Irishtown,Irishtown Road Dublin 4,53.338063,-6.22304,(01) 6669600,https://www.garda.ie/garda/en/contact-us/station-directory/irishtown.html,24/7,,,,,,,
Kevin Street,Kevin Street upper Dublin 8,53.338982,-6.270248,(01) 6669400,https://www.garda.ie/garda/en/contact-us/station-directory/kevin-street.html,24/7,,,,,,,
Kilmainham,Kilmainham Lane Dublin 8,53.341869,-6.304273,(01) 6669700,https://www.garda.ie/garda/en/contact-us/station-directory/kilmainham.html,24/7,,,,,,,
Lucan,Leixlip Road,53.356052,-6.45068,(01) 6667300,https://www.garda.ie/garda/en/contact-us/station-directory/lucan.html,24/7,,,,,,,
Mountjoy,399 North Circular Road,53.360484,-6.266825,(01) 6668600,https://www.garda.ie/garda/en/contact-us/station-directory/mountjoy.html,24/7,,,,,,,
Pearse Street,1-6 Pearse Street Dublin 2,53.345702,-6.256269,(01) 6669000,https://www.garda.ie/garda/en/contact-us/station-directory/pearse-street.html,24/7,,,,,,,
Raheny,All Saints Road Raheny Dublin 5,53.378983,-6.177986,(01) 6664300,https://www.garda.ie/garda/en/contact-us/station-directory/raheny.html,24/7,,,,,,,
Rathfarnham,Butterfield Avenue Dublin 14,53.297388,-6.28815,(01) 6666500,https://www.garda.ie/garda/en/contact-us/station-directory/rathfarnham.html,24/7,,,,,,,
Rathmines,Rathgar Road Rathgar Dublin 6,53.321317,-6.267004,(01) 6666700,https://www.garda.ie/garda/en/contact-us/station-directory/rathmines.html,24/7,,,,,,,
Ronanstown,"Saint Ronan's Avenue 	Clondalkin Dublin 22",53.337899,-6.406023,(01) 6667700,https://www.garda.ie/garda/en/contact-us/station-directory/ronanstown.html,24/7,,,,,,,
Shankill,Dorney Court Dublin 18,53.233524,-6.121017,(01) 6665900,https://www.garda.ie/garda/en/contact-us/station-directory/shankill.html,24/7,,,,,,,
Store Street,4-6 Store Street Dublin 1,53.350455,-6.252246,(01) 6668000,https://www.garda.ie/garda/en/contact-us/station-directory/store-street.html,24/7,,,,,,,
Swords,Main Street Swords ,53.456023,-6.221116,(01) 6664700,https://www.garda.ie/garda/en/contact-us/station-directory/swords.html,24/7,,,,,,,
Tallaght,Belgard Road East Tallaght Dublin 24,53.286801,-6.367838,(01) 6666000,https://www.garda.ie/garda/en/contact-us/station-directory/tallaght.html,24/7,,,,,,,
Ballinasloe,Dunlo Street,53.328431,-8.223624,(090) 9631890,https://www.garda.ie/garda/en/contact-us/station-directory/ballinasloe.html,24/7,,,,,,,
Clifden,Galway Road,53.488185,-10.009242,(095) 22500,https://www.garda.ie/garda/en/contact-us/station-directory/clifden.html,24/7,,,,,,,
Galway,Mill Street,53.271404,-9.057489,(091) 538000,https://www.garda.ie/garda/en/contact-us/station-directory/gaillimh-galway-.html,24/7,,,,,,,
Gort,Barrack Street,53.067434,-8.818184,(091) 636400,https://www.garda.ie/garda/en/contact-us/station-directory/gort.html,24/7,,,,,,,
Loughrea,Barrack Street,53.197374,-8.569948,(091) 842870,https://www.garda.ie/garda/en/contact-us/station-directory/loughrea.html,24/7,,,,,,,
Salthill,Dalysfort Road,53.258788,-9.079714,(091) 514720,https://www.garda.ie/garda/en/contact-us/station-directory/salthill.html,24/7,,,,,,,
Tuam,Abbey Trinity Road,53.515662,-8.855884,(093) 70840,https://www.garda.ie/garda/en/contact-us/station-directory/tuam.html,24/7,,,,,,,
Caherciveen,,51.946966,-10.219832,(066) 9473600,https://www.garda.ie/garda/en/contact-us/station-directory/caherciveen.html,24/7,,,,,,,
Killarney,New Road,52.062403,-9.512388,(064) 6671160,https://www.garda.ie/garda/en/contact-us/station-directory/killarney.html,24/7,,,,,,,
Listowel,Church Street,52.447132,-9.483916,(068) 50820,https://www.garda.ie/garda/en/contact-us/station-directory/listowel.html,24/7,,,,,,,
Tralee,New Road,52.269488,-9.708839,(066) 7102300,https://www.garda.ie/garda/en/contact-us/station-directory/tralee.html,24/7,,,,,,,
Kildare,Dublin Street,53.156035,-6.907264,(045) 527730,https://www.garda.ie/garda/en/contact-us/station-directory/kildare.html,24/7,,,,,,,
Leixlip,19 Station Road,53.367378,-6.49825,(01) 6667800,https://www.garda.ie/garda/en/contact-us/station-directory/leixlip.html,24/7,,,,,,,
Naas,Kilcullen Road,53.210722,-6.666007,(045) 884300,https://www.garda.ie/garda/en/contact-us/station-directory/naas.html,24/7,,,,,,,
Newbridge,Main Street,53.181435,-6.795531,(045) 440180,https://www.garda.ie/garda/en/contact-us/station-directory/newbridge.html,24/7,,,,,,,
Carlow,Athy Road,52.840527,-6.929317,(059) 9136620,https://www.garda.ie/garda/en/contact-us/station-directory/carlow.html,24/7,,,,,,,
Kilkenny,Dominic Street,52.65244,-7.259723,(056) 7775000,https://www.garda.ie/garda/en/contact-us/station-directory/kilkenny.html,24/7,,,,,,,
Thomastown,The Fairgreen,52.528949,-7.140031,(056) 7754150,https://www.garda.ie/garda/en/contact-us/station-directory/thomastown.html,24/7,,,,,,,
Abbeyleix,Ballinakill Road,52.912735,-7.343784,(057) 8730580,https://www.garda.ie/garda/en/contact-us/station-directory/abbeyleix.html,24/7,,,,,,,
Birr,Emmet Square,53.096052,-7.911523,(057) 9169710,https://www.garda.ie/garda/en/contact-us/station-directory/birr.html,24/7,,,,,,,
Portlaoise,Abbeyleix Road,53.03165,-7.303082,(057) 8674100,https://www.garda.ie/garda/en/contact-us/station-directory/portlaoise.html,24/7,,,,,,,
Tullamore,Patrick Street,53.276055,-7.494906,(057) 9327600,https://www.garda.ie/garda/en/contact-us/station-directory/tullamore.html,24/7,,,,,,,
Askeaton,Chapel Road,52.600208,-8.978285,(061) 601630,https://www.garda.ie/garda/en/contact-us/station-directory/askeaton.html,24/7,,,,,,,
Bruff,Main Street,52.47733,-8.546975,(061) 382940,https://www.garda.ie/garda/en/contact-us/station-directory/bruff.html,24/7,,,,,,,
Limerick,Henry Street,52.66164,-8.631345,(061) 212400,https://www.garda.ie/garda/en/contact-us/station-directory/henry-street.html,24/7,,,,,,,
Newcastle West,Churchtown Road,52.453746,-9.062395,(069) 20650,https://www.garda.ie/garda/en/contact-us/station-directory/newcastlewest.html,24/7,,,,,,,
Limerick,Roxboro Road,52.650763,-8.61491,(061) 214340,https://www.garda.ie/garda/en/contact-us/station-directory/roxboro-road.html,24/7,,,,,,,
Drogheda,Father Connolly Way,53.715056,-6.356643,(041) 9874200,https://www.garda.ie/garda/en/contact-us/station-directory/drogheda.html,24/7,,,,,,,
Drumad,,54.095768,-6.360793,(042) 9358680,https://www.garda.ie/garda/en/contact-us/station-directory/drumad.html,24/7,,,,,,,
Dundalk,The Crescent,53.999499,-6.409665,(042) 9388400,https://www.garda.ie/garda/en/contact-us/station-directory/dundalk.html,24/7,,,,,,,
Ballina,Lord Edward Street,54.112854,-9.160445,(096) 20560,https://www.garda.ie/garda/en/contact-us/station-directory/ballina.html,24/7,,,,,,,
Belmullet,Béal an Mhuirthead,54.221746,-9.985584,(097) 81910,https://www.garda.ie/garda/en/contact-us/station-directory/beal-an-mhuirthead-belmullet-.html,24/7,,,,,,,
Castlebar,The Mall,53.853436,-9.297628,(094) 9038200,https://www.garda.ie/garda/en/contact-us/station-directory/castlebar.html,24/7,,,,,,,
Claremorris,Mount Street,53.722297,-9.000249,(094) 9372080,https://www.garda.ie/garda/en/contact-us/station-directory/claremorris.html,24/7,,,,,,,
Swinford,Chapel Street,53.940637,-8.952211,(094) 9252990,https://www.garda.ie/garda/en/contact-us/station-directory/swinford.html,24/7,,,,,,,
Westport,Fairgreen,53.79907,-9.519437,(098) 50230,https://www.garda.ie/garda/en/contact-us/station-directory/westport.html,24/7,,,,,,,
Ashbourne,Frederick Street,53.511375,-6.396999,(01) 8010600,https://www.garda.ie/garda/en/contact-us/station-directory/ashbourne.html,24/7,,,,,,,
Kells,Fair Green,53.728408,-6.881215,(046) 9280820,https://www.garda.ie/garda/en/contact-us/station-directory/kells.html,24/7,,,,,,,
Navan,Abbey Road,53.654517,-6.690418,(046) 9079930,https://www.garda.ie/garda/en/contact-us/station-directory/navan.html,24/7,,,,,,,
Trim,Castle Street,53.553114,-6.789303,(046) 9481540,https://www.garda.ie/garda/en/contact-us/station-directory/trim.html,24/7,,,,,,,
Boyle,Military Road,53.97337,-8.300395,(071) 9664620,https://www.garda.ie/garda/en/contact-us/station-directory/boyle.html,24/7,,,,,,,
Castlerea,Barrack Street,53.766632,-8.484061,(094) 9621630,https://www.garda.ie/garda/en/contact-us/station-directory/castlerea.html,24/7,,,,,,,
Granard,Barrack Street,53.778552,-7.494222,(043) 6687660,https://www.garda.ie/garda/en/contact-us/station-directory/granard.html,24/7,,,,,,,
Longford,Battery Road,53.73251,-7.80138,(043) 3350570,https://www.garda.ie/garda/en/contact-us/station-directory/longford.html,24/7,,,,,,,
Mayo/Roscommon/Longford,Abbey Street,53.629842,-8.193576,(090) 6638300,https://www.garda.ie/garda/en/contact-us/station-directory/roscommon.html,24/7,,,,,,,
Ballymote,O'Connell Street,54.087429,-8.515224,(071) 9189500,https://www.garda.ie/garda/en/contact-us/station-directory/ballymote.html,24/7,,,,,,,
Carrick-on-Shannon,Shannon Lodge,53.944337,-8.09015,(071) 9650510,https://www.garda.ie/garda/en/contact-us/station-directory/carrick-on-shannon.html,24/7,,,,,,,
Manorhamilton,Sligo Road,54.304359,-8.178512,(071) 9820620,https://www.garda.ie/garda/en/contact-us/station-directory/manorhamilton.html,24/7,,,,,,,
Sligo,Pearse Road,54.269256,-8.471265,(071) 9157000,https://www.garda.ie/garda/en/contact-us/station-directory/sligo.html,24/7,,,,,,,
Cahir,Townspark,52.375972,-7.920298,(052) 7445630,https://www.garda.ie/garda/en/contact-us/station-directory/cahir.html,24/7,,,,,,,
Clonmel,Emmet Street,52.354092,-7.699937,(052) 6177640,https://www.garda.ie/garda/en/contact-us/station-directory/clonmel.html,24/7,,,,,,,
Nenagh,Banba Square,52.864279,-8.199582,(067) 50450,https://www.garda.ie/garda/en/contact-us/station-directory/nenagh.html,24/7,,,,,,,
Roscrea,Main Street,52.956163,-7.798782,(0505) 21700,https://www.garda.ie/garda/en/contact-us/station-directory/roscrea.html,24/7,,,,,,,
Templemore,Main Street,52.796632,-7.835087,(0504) 32630,https://www.garda.ie/garda/en/contact-us/station-directory/templemore.html,24/7,,,,,,,
Thurles,Slievenamon Road,52.675712,-7.8119,(0504) 25100,https://www.garda.ie/garda/en/contact-us/station-directory/thurles.html,24/7,,,,,,,
Tipperary Town,Saint Michael's Road,52.476051,-8.162901,(062) 80670,https://www.garda.ie/garda/en/contact-us/station-directory/tipperary-town.html,24/7,,,,,,,
Dungarvan,Youghal Road,52.087691,-7.624475,(058) 48600,https://www.garda.ie/garda/en/contact-us/station-directory/dungarvan.html,24/7,,,,,,,
Tramore,Off Market Street,52.161475,-7.153412,(051) 391620,https://www.garda.ie/garda/en/contact-us/station-directory/tramore.html,24/7,,,,,,,
Waterford,Patrick Street,52.260269,-7.115254,(051) 305300,https://www.garda.ie/garda/en/contact-us/station-directory/waterford.html,24/7,,,,,,,
Athlone,Barrack Street,53.423248,-7.944738,(090) 6492600,https://www.garda.ie/garda/en/contact-us/station-directory/athlone.html,24/7,,,,,,,
Mullingar,College Road,53.525701,-7.345952,(044) 9384000,https://www.garda.ie/garda/en/contact-us/station-directory/mullingar.html,24/7,,,,,,,
Enniscorthy,Lymington Road,52.500739,-6.570682,(053) 9233534,https://www.garda.ie/garda/en/contact-us/station-directory/enniscorthy.html,24/7,,,,,,,
Gorey,Main Street,52.675046,-6.29727,(053) 9421222,https://www.garda.ie/garda/en/contact-us/station-directory/gorey.html,24/7,,,,,,,
New Ross,Marshmeadows,52.387564,-6.9508,(051) 426030,https://www.garda.ie/garda/en/contact-us/station-directory/new-ross.html,24/7,,,,,,,
Wexford,Mulgannon,52.335547,-6.461997,(053) 9165200,https://www.garda.ie/garda/en/contact-us/station-directory/wexford.html,24/7,,,,,,,
Arklow,Abbey Street,52.796281,-6.154628,(0402) 32304,https://www.garda.ie/garda/en/contact-us/station-directory/arklow.html,24/7,,,,,,,
Baltinglass,Edward Street,52.938986,-6.709772,(059) 6482610,https://www.garda.ie/garda/en/contact-us/station-directory/baltinglass.html,24/7,,,,,,,
Bray,Convent Avenue,53.198679,-6.100595,(01) 6665300,https://www.garda.ie/garda/en/contact-us/station-directory/bray.html,24/7,,,,,,,
